Дата публикации;Статус;ФЗ;Проект;Способ закупки;URL;Организатор;ИНН;Менеджер компании;СМП;Название;Комментарий;ПО, Бренд;ПО, шт;Терминал, Бренд;БТ, шт;Видео, бренд;Видео, шт;ДУТ, Бренд;ДУТ, шт;Регион;Сделок в АМО;Участники;Победитель
9 января 2025 г.;Не участвуем;223;СМТ;Закупка у единственного поставщика;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17753140;"ТАРАСОВСКОЕ ГАУ РО ""ЛЕС""";6133000498;;Нет;навигационно-информационные услуги по мониторингу подвижных объектов Заказчика, оснащен-ных оборудованием ГЛОНАСС/GPS/GSM;;Другое;50;;;;;;;Ростовская область;;РНИЦ по Ростовской области;РНИЦ по Ростовской области
9 января 2025 г.;Не участвуем;223;СМТ;Закупка у единственного поставщика;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17753178;"АО ""КРЫМЭКОРЕСУРСЫ""";9102299072;;Нет;Оказание услуг по предоставлению доступа к локальному серверу мониторинга транспорта;;Другое;450;;;;;;;Республика Крым;;Компания Глонасс Крым;Компания Глонасс Крым
9 января 2025 г.;Не участвуем;223;СМТ;Запрос предложений;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=17754240;"ГАУ ""ЧЕБУЛИНСКИЙ ЛЕСХОЗ""";4213009679;Зимовская Е.;Да;"Поставка аппаратуры спутниковой навигации, с последующей установкой, настройкой и регистрации в АО ""ГЛОНАСС""";установка, настройка и регистрация в АО «ГЛОНАСС»;;;АСН;12;;;;;Кемеровская область;1;"Сибрь
Сибтранснавигация
МЦМ";Сибрь
9 января 2025 г.;Не участвуем;44;СМТ;Электронный аукцион;https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0345200019824000099;"ГБУ ЛО ""МФЦ""";7842453565;;Да;Услуги по техническому обслуживанию автотранспортных средств;только сервис 40 ед. тс;;;;;;;;;Санкт-Петербург;;;
9 января 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/13001470;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКНЕФТЕПРОДУКТ""";3201000493;Пашина Е.;Нет;Оказание услуг по технической поддержке оборудования спутникового мониторинга автотранспорта АвтоГРАФ-GSM (согласно техническому заданию);;Техноком;42;;;;;;;Брянская область;1;не раскрывается;не раскрывается
9 января 2025 г.;Не участвуем;ГК;СМТ;Объявление о покупке;https://bidzaar.com/process/light/df55393f-aef4-46a2-b080-dfeb39f85b4c;ГРУППА КОМПАНИЙ РУСАГРО;7728278043;Брилев А.;Нет;Оказание услуг по монтажу, ремонту и сервисному обслуживанию оборудования системы мониторинга АО «ПримАгро»;"Терминалы Галилеоскай, Миелта, Омникомм;ДУТ Эскорт, Омникомм";Виалон;496;Галилео;1;;;Эскорт;1;Москва;15;;
9 января 2025 г.;Не участвуем;ГК;СМТ;Объявление о покупке;https://bidzaar.com/process/light/fe1b971c-4622-46ba-a845-fce803cbaba9;ГРУППА КОМПАНИЙ РУСАГРО;7728278043;Брилев А.;Нет;Поставка и монтаж комплектов системы мониторинга транспорта нижнего уровня(СМТ НУ) ГК РУСАГРО;;;;Галилео;673;;;;;Москва;15;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://eep.mitwork.kz/ru/publics/buy/146501;"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАВЛОДАР-ВОДОКАНАЛ""";010640005023;;Нет;Абонентское обслуживание системы спутникового мониторинга включая GSM связь. Согласно технической спецификации;количество тс не указано;Общие требования;1;;;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://eurasiantech-tender.kz/Purchase/Index/44495;ТОО Водные ресурсы-Маркетинг;980440001768.;;Нет;Услуги по обслуживанию GPS/ГЛОНАСС трекеров;колиичество тс не указано;Общие требования;1;Общие требования;1;;;;;Республика Казахстан;;;
9 января 2025 г.;Не участвуем;СНГ;СМТ;Запрос котировок;https://goszakup.gov.kz/ru/announce/index/13540404;"961140001479 Государственное учреждение ""Департамент полиции Жамбылской области Министерства внутренних дел Республики Казахстан""";961140001479;;Да;Техническое обслуживание GPS трекеров;только сервис;Техноком;1;;;;;;;Республика Казахстан;;;
